 Bins    Order     Time    Rows    Missing    Missing %  Scheme        RMSE
------  -------  -------  ------  ---------  -----------  --------  --------
   195        6  23.8081  122643      93600       76.319  MEAN       6.99923
   190        6  23.2013  122643      93249       76.033  MEAN       6.99928
   195        5  25.1342  122644      80413       65.566  MEAN       7.00572
   185        6  24.3707  122643      93124       75.931  MEAN       7.01247
   175        6  24.3138  122643      92397       75.338  MEAN       7.01499
   180        6  22.7549  122643      92986       75.818  MEAN       7.02108
   190        5  23.955   122644      79374       64.719  MEAN       7.02838
   170        6  24.6002  122643      91883       74.919  MEAN       7.03385
   165        6  22.9402  122643      90535       73.82   MEAN       7.05292
   185        5  25.8578  122644      78558       64.054  MEAN       7.06903
   160        6  24.689   122643      89199       72.731  MEAN       7.07897
   155        6  22.1582  122643      87949       71.711  MEAN       7.11051
   180        5  22.492   122644      77717       63.368  MEAN       7.11103
   150        6  24.9125  122643      87050       70.978  MEAN       7.13133
   175        5  22.9533  122644      76691       62.531  MEAN       7.13167
   145        6  24.1353  122643      85559       69.763  MEAN       7.15705
   140        6  24.7023  122643      84679       69.045  MEAN       7.177
   170        5  25.9684  122644      74415       60.676  MEAN       7.18855
   195        6  39.3313  122643      93600       76.319  MEDIAN     7.20709
   190        6  35.9802  122643      93249       76.033  MEDIAN     7.21547
   185        6  33.8394  122643      93124       75.931  MEDIAN     7.21982
   135        6  24.4222  122643      82919       67.61   MEAN       7.2218
   180        6  37.2545  122643      92986       75.818  MEDIAN     7.22493
   175        6  38.4867  122643      92397       75.338  MEDIAN     7.23096
   195        7  24.2653  122642      99806       81.38   MEAN       7.23742
   185        7  24.6952  122642      99717       81.307  MEAN       7.24254
   175        7  25.0973  122642      98273       80.13   MEAN       7.24326
   190        7  22.7966  122642      99728       81.316  MEAN       7.24417
   170        6  37.0945  122643      91883       74.919  MEDIAN     7.24765
   130        6  24.4451  122643      81415       66.384  MEAN       7.24905
   180        7  22.7223  122642      99712       81.303  MEAN       7.25237
   170        7  21.858   122642      98214       80.082  MEAN       7.25578
   165        5  23.1422  122644      71855       58.588  MEAN       7.25953
   165        7  22.2697  122642      97871       79.802  MEAN       7.2616
   165        6  37.8263  122643      90535       73.82   MEDIAN     7.26718
   160        7  24.018   122642      97229       79.279  MEAN       7.27216
   155        7  21.3702  122642      95911       78.204  MEAN       7.28403
   125        6  25.3505  122643      79599       64.903  MEAN       7.28478
   160        6  42.0104  122643      89199       72.731  MEDIAN     7.29158
   150        7  25.1206  122642      94943       77.415  MEAN       7.29439
   145        7  23.1811  122642      94332       76.917  MEAN       7.29701
   140        7  24.6619  122642      93431       76.182  MEAN       7.30834
   135        7  25.0176  122642      92773       75.645  MEAN       7.31644
   155        6  37.1494  122643      87949       71.711  MEDIAN     7.32138
   130        7  24.4399  122642      91262       74.413  MEAN       7.33018
   150        6  38.3566  122643      87050       70.978  MEDIAN     7.34059
   160        5  25.6789  122644      69370       56.562  MEAN       7.3435
   195        5  30.0685  122644      80413       65.566  MEDIAN     7.34817
   125        7  24.7516  122642      90413       73.721  MEAN       7.35305
   120        6  24.3326  122643      78217       63.776  MEAN       7.35999
   145        6  38.6706  122643      85559       69.763  MEDIAN     7.36263
   190        5  37.3669  122644      79374       64.719  MEDIAN     7.3637
   120        7  24.0237  122642      90098       73.464  MEAN       7.36611
   115        7  25.2705  122642      89202       72.734  MEAN       7.38082
   140        6  38.8406  122643      84679       69.045  MEDIAN     7.3844
   155        5  23.7769  122644      67251       54.834  MEAN       7.39615
   185        5  37.1646  122644      78558       64.054  MEDIAN     7.40656
   115        6  25.5624  122643      75529       61.584  MEAN       7.41262
   110        7  29.0971  122642      87202       71.103  MEAN       7.43032
   135        6  37.556   122643      82919       67.61   MEDIAN     7.43392
   180        5  36.5871  122644      77717       63.368  MEDIAN     7.43479
   130        6  36.115   122643      81415       66.384  MEDIAN     7.45453
   175        5  37.4381  122644      76691       62.531  MEDIAN     7.4569
   105        7  24.4745  122642      85426       69.655  MEAN       7.46247
   150        5  25.7444  122644      64963       52.969  MEAN       7.4849
   125        6  38.7628  122643      79599       64.903  MEDIAN     7.49717
   100        7  24.6725  122642      83938       68.441  MEAN       7.50879
   110        6  25.2673  122643      72551       59.156  MEAN       7.51846
   170        5  35.4549  122644      74415       60.676  MEDIAN     7.52849
   120        6  38.8772  122643      78217       63.776  MEDIAN     7.54999
   145        5  26.3849  122644      62342       50.832  MEAN       7.5623
    95        7  26.1535  122642      81513       66.464  MEAN       7.56863
   185        7  39.4615  122642      99717       81.307  MEDIAN     7.58291
   195        7  39.6279  122642      99806       81.38   MEDIAN     7.58329
   165        5  36.96    122644      71855       58.588  MEDIAN     7.58663
   190        7  39.5229  122642      99728       81.316  MEDIAN     7.58758
   180        7  37.6297  122642      99712       81.303  MEDIAN     7.58767
   175        7  43.673   122642      98273       80.13   MEDIAN     7.59048
   170        7  38.2182  122642      98214       80.082  MEDIAN     7.60345
   105        6  25.0658  122643      69403       56.589  MEAN       7.61159
   165        7  42.5926  122642      97871       79.802  MEDIAN     7.61233
   160        7  39.5808  122642      97229       79.279  MEDIAN     7.61973
   115        6  40.2684  122643      75529       61.584  MEDIAN     7.62148
   140        5  26.1926  122644      59986       48.911  MEAN       7.62761
   155        7  38.0001  122642      95911       78.204  MEDIAN     7.63265
   150        7  39.9143  122642      94943       77.415  MEDIAN     7.63832
   145        7  38.4689  122642      94332       76.917  MEDIAN     7.64707
    90        7  25.3276  122642      79052       64.458  MEAN       7.65854
   140        7  40.4578  122642      93431       76.182  MEDIAN     7.66135
   135        7  38.4179  122642      92773       75.645  MEDIAN     7.66788
   160        5  37.0677  122644      69370       56.562  MEDIAN     7.66929
   130        7  39.4511  122642      91262       74.413  MEDIAN     7.68191
   125        7  39.9527  122642      90413       73.721  MEDIAN     7.70251
   120        7  39.443   122642      90098       73.464  MEDIAN     7.71207
   110        6  36.9011  122643      72551       59.156  MEDIAN     7.7145
   155        5  34.9206  122644      67251       54.834  MEDIAN     7.71591
   100        6  26.3289  122643      65916       53.746  MEAN       7.71739
   135        5  26.0167  122644      57142       46.592  MEAN       7.72475
   115        7  41.4243  122642      89202       72.734  MEDIAN     7.72862
    85        7  24.9209  122642      76179       62.115  MEAN       7.73719
   110        7  37.3429  122642      87202       71.103  MEDIAN     7.77558
   150        5  37.0822  122644      64963       52.969  MEDIAN     7.7791
   130        5  26.094   122644      54574       44.498  MEAN       7.8019
   105        6  38.8712  122643      69403       56.589  MEDIAN     7.80718
   105        7  41.1562  122642      85426       69.655  MEDIAN     7.831
    95        6  27.5862  122643      62401       50.88   MEAN       7.8373
   145        5  36.36    122644      62342       50.832  MEDIAN     7.86069
   100        7  36.3841  122642      83938       68.441  MEDIAN     7.86438
    80        7  25.3697  122642      71066       57.946  MEAN       7.89186
   125        5  27.3002  122644      52084       42.468  MEAN       7.89822
   100        6  38.3192  122643      65916       53.746  MEDIAN     7.92187
    95        7  35.4159  122642      81513       66.464  MEDIAN     7.92215
   140        5  36.7335  122644      59986       48.911  MEDIAN     7.93431
    90        7  37.2526  122642      79052       64.458  MEDIAN     7.99102
    75        7  26.1607  122642      66764       54.438  MEAN       8.00356
    90        6  26.7865  122643      57740       47.08   MEAN       8.00651
   120        5  26.9435  122644      49197       40.114  MEAN       8.01016
    95        6  34.1991  122643      62401       50.88   MEDIAN     8.0176
   135        5  36.5983  122644      57142       46.592  MEDIAN     8.02444
   195        4  26.419   122645      41831       34.107  MEAN       8.03113
   130        5  34.2726  122644      54574       44.498  MEDIAN     8.06767
   190        4  24.8502  122645      40404       32.944  MEAN       8.08041
    85        7  36.1205  122642      76179       62.115  MEDIAN     8.08217
   115        5  29.7663  122644      46081       37.573  MEAN       8.08993
   185        4  26.6638  122645      39172       31.939  MEAN       8.13006
   195        4  27.3691  122645      41831       34.107  MEDIAN     8.14793
    85        6  26.5375  122643      53558       43.67   MEAN       8.15176
   190        4  32.8246  122645      40404       32.944  MEDIAN     8.16363
   180        4  27.2103  122645      37551       30.618  MEAN       8.17367
   125        5  36.478   122644      52084       42.468  MEDIAN     8.17602
    90        6  36.9073  122643      57740       47.08   MEDIAN     8.17794
    70        7  26.7383  122642      61888       50.462  MEAN       8.19269
   110        5  26.6331  122644      42708       34.823  MEAN       8.20725
    80        7  37.8493  122642      71066       57.946  MEDIAN     8.2137
   185        4  25.698   122645      39172       31.939  MEDIAN     8.22553
   175        4  24.3734  122645      35812       29.2    MEAN       8.24712
   120        5  36.5874  122644      49197       40.114  MEDIAN     8.26448
   180        4  32.0847  122645      37551       30.618  MEDIAN     8.30128
    85        6  34.7266  122643      53558       43.67   MEDIAN     8.31678
    80        6  28.0962  122643      47880       39.04   MEAN       8.32636
   170        4  26.9678  122645      34133       27.831  MEAN       8.33445
    75        7  35.1389  122642      66764       54.438  MEDIAN     8.34167
   175        4  34.0132  122645      35812       29.2    MEDIAN     8.35801
   115        5  35.2469  122644      46081       37.573  MEDIAN     8.35821
   105        5  26.6791  122644      39491       32.2    MEAN       8.36229
   165        4  24.028   122645      32326       26.357  MEAN       8.40195
    65        7  26.3841  122642      55067       44.901  MEAN       8.41785
   170        4  33.0441  122645      34133       27.831  MEDIAN     8.43358
   110        5  34.3045  122644      42708       34.823  MEDIAN     8.45505
   160        4  27.825   122645      30774       25.092  MEAN       8.47723
   100        5  26.8032  122644      36149       29.475  MEAN       8.4963
    80        6  36.4728  122643      47880       39.04   MEDIAN     8.50179
   165        4  34.2205  122645      32326       26.357  MEDIAN     8.50862
    70        7  37.0192  122642      61888       50.462  MEDIAN     8.51296
    75        6  26.723   122643      43486       35.457  MEAN       8.51672
   155        4  25.2919  122645      29026       23.667  MEAN       8.55678
   160        4  32.7298  122645      30774       25.092  MEDIAN     8.56888
   105        5  33.9896  122644      39491       32.2    MEDIAN     8.59887
    95        5  28.2665  122644      33212       27.08   MEAN       8.61797
   150        4  27.8376  122645      27614       22.515  MEAN       8.62787
   155        4  31.5989  122645      29026       23.667  MEDIAN     8.64532
    75        6  33.9196  122643      43486       35.457  MEDIAN     8.67889
    60        7  24.7558  122642      48193       39.296  MEAN       8.68097
   150        4  33.5346  122645      27614       22.515  MEDIAN     8.68406
   145        4  26.3631  122645      25984       21.186  MEAN       8.69152
    90        5  27.6819  122644      30191       24.617  MEAN       8.71341
   100        5  34.2117  122644      36149       29.475  MEDIAN     8.71802
    70        6  26.393   122643      38290       31.221  MEAN       8.72102
    65        7  37.0747  122642      55067       44.901  MEDIAN     8.73177
   140        4  26.8406  122645      24541       20.01   MEAN       8.74623
   145        4  33.3912  122645      25984       21.186  MEDIAN     8.76687
   135        4  26.8622  122645      23321       19.015  MEAN       8.81619
   140        4  31.9727  122645      24541       20.01   MEDIAN     8.826
    95        5  32.3027  122644      33212       27.08   MEDIAN     8.84125
    70        6  37.649   122643      38290       31.221  MEDIAN     8.85633
    85        5  27.462   122644      27572       22.481  MEAN       8.8569
   130        4  27.3801  122645      21984       17.925  MEAN       8.86701
   135        4  32.6368  122645      23321       19.015  MEDIAN     8.88478
    65        6  26.2499  122643      33601       27.397  MEAN       8.90352
    55        7  27.3668  122642      41564       33.891  MEAN       8.92653
    90        5  33.9963  122644      30191       24.617  MEDIAN     8.94522
   130        4  31.5943  122645      21984       17.925  MEDIAN     8.94645
   125        4  26.8796  122645      20819       16.975  MEAN       8.95965
    80        5  28.054   122644      24454       19.939  MEAN       8.97785
    60        7  38.0005  122642      48193       39.296  MEDIAN     8.98496
   120        4  27.7327  122645      19375       15.798  MEAN       8.99859
   125        4  32.5125  122645      20819       16.975  MEDIAN     9.01218
    65        6  33.9326  122643      33601       27.397  MEDIAN     9.04935
   120        4  32.8601  122645      19375       15.798  MEDIAN     9.06523
    85        5  31.2042  122644      27572       22.481  MEDIAN     9.07154
   115        4  30.922   122645      18182       14.825  MEAN       9.0724
    60        6  26.0579  122643      28855       23.528  MEAN       9.09302
    75        5  27.6657  122644      22355       18.228  MEAN       9.12138
   115        4  33.2338  122645      18182       14.825  MEDIAN     9.1701
    80        5  32.2026  122644      24454       19.939  MEDIAN     9.17615
   110        4  27.667   122645      17109       13.95   MEAN       9.18264
    55        7  34.8766  122642      41564       33.891  MEDIAN     9.21807
   110        4  33.4382  122645      17109       13.95   MEDIAN     9.22506
    60        6  33.483   122643      28855       23.528  MEDIAN     9.23417
    50        7  23.7395  122642      34758       28.341  MEAN       9.25043
    70        5  28.2089  122644      19973       16.285  MEAN       9.25171
   105        4  27.2927  122645      15791       12.875  MEAN       9.2664
    75        5  32.3411  122644      22355       18.228  MEDIAN     9.30732
    55        6  27.5116  122643      24838       20.252  MEAN       9.33557
   105        4  29.4632  122645      15791       12.875  MEDIAN     9.34785
   100        4  28.0792  122645      14604       11.908  MEAN       9.36243
    65        5  27.6802  122644      17691       14.425  MEAN       9.41249
    70        5  33.1777  122644      19973       16.285  MEDIAN     9.41595
   100        4  31.6912  122645      14604       11.908  MEDIAN     9.42124
    55        6  32.4855  122643      24838       20.252  MEDIAN     9.44498
   195        3  28.9136  122646       9917        8.086  MEAN       9.47598
    95        4  29.4277  122645      13399       10.925  MEAN       9.48644
    95        4  27.791   122645      13399       10.925  MEDIAN     9.48886
    50        7  32.2074  122642      34758       28.341  MEDIAN     9.5018
   190        3  27.0586  122646       9507        7.752  MEAN       9.50881
   185        3  25.7556  122646       9266        7.555  MEAN       9.51255
   180        3  27.8696  122646       8794        7.17   MEAN       9.53587
    45        7  23.8432  122642      28537       23.269  MEAN       9.53732
   185        5  21.019   122644      78558       64.054  RAND       9.5519
   195        5  22.1576  122644      80413       65.566  RAND       9.5598
    50        6  27.5494  122643      21143       17.239  MEAN       9.57327
    60        5  25.8085  122644      15464       12.609  MEAN       9.58234
    90        4  27.9127  122645      12277       10.01   MEAN       9.58556
   175        3  24.5448  122646       8428        6.872  MEAN       9.59527
    65        5  31.5426  122644      17691       14.425  MEDIAN     9.59562
   175        5  21.1509  122644      76691       62.531  RAND       9.6062
   195        3  21.9977  122646       9917        8.086  MEDIAN     9.6097
   180        5  22.2017  122644      77717       63.368  RAND       9.6105
   190        5  21.7623  122644      79374       64.719  RAND       9.63638
    90        4  31.3897  122645      12277       10.01   MEDIAN     9.65563
   190        3  24.0748  122646       9507        7.752  MEDIAN     9.66068
    50        6  30.1012  122643      21143       17.239  MEDIAN     9.67073
   180        3  29.2018  122646       8794        7.17   MEDIAN     9.67284
   170        3  28.0566  122646       7830        6.384  MEAN       9.67292
    85        4  27.6882  122645      11212        9.142  MEAN       9.68916
   170        5  22.4296  122644      74415       60.676  RAND       9.69428
   185        3  29.9619  122646       9266        7.555  MEDIAN     9.70677
    60        5  32.8708  122644      15464       12.609  MEDIAN     9.71971
   165        3  25.7218  122646       7381        6.018  MEAN       9.72333
   165        5  22.2248  122644      71855       58.588  RAND       9.73936
    85        4  29.5621  122645      11212        9.142  MEDIAN     9.7402
   175        3  28.6937  122646       8428        6.872  MEDIAN     9.74887
   160        3  27.9101  122646       6945        5.663  MEAN       9.76105
   160        5  23.0439  122644      69370       56.562  RAND       9.76389
   155        5  23.9535  122644      67251       54.834  RAND       9.77403
    45        7  33.5602  122642      28537       23.269  MEDIAN     9.78134
   175        6  20.0763  122643      92397       75.338  RAND       9.78712
   180        6  21.2576  122643      92986       75.818  RAND       9.79218
    45        6  24.4999  122643      17802       14.515  MEAN       9.79423
   190        6  20.1224  122643      93249       76.033  RAND       9.79618
   170        6  21.0435  122643      91883       74.919  RAND       9.80117
   150        6  19.8054  122643      87050       70.978  RAND       9.80638
    55        5  24.8199  122644      13343       10.879  MEAN       9.80957
   155        3  27.9533  122646       6359        5.185  MEAN       9.81233
   170        3  32.2662  122646       7830        6.384  MEDIAN     9.81236
   165        6  20.4522  122643      90535       73.82   RAND       9.815
   185        6  21.3189  122643      93124       75.931  RAND       9.82729
   195        4  25.0723  122645      41831       34.107  RAND       9.82801
   150        5  20.9878  122644      64963       52.969  RAND       9.83682
    80        4  28.9857  122645       9939        8.104  MEAN       9.84014
   180        4  25.247   122645      37551       30.618  RAND       9.85234
    40        7  28.3083  122642      23185       18.905  MEAN       9.85377
   145        5  23.2682  122644      62342       50.832  RAND       9.86224
   195        6  20.8031  122643      93600       76.319  RAND       9.86585
   150        3  27.6573  122646       5918        4.825  MEAN       9.87342
    80        4  28.3511  122645       9939        8.104  MEDIAN     9.88041
   165        3  28.8704  122646       7381        6.018  MEDIAN     9.88824
   135        5  23.9704  122644      57142       46.592  RAND       9.89808
   160        3  30.9643  122646       6945        5.663  MEDIAN     9.90031
   155        6  19.576   122643      87949       71.711  RAND       9.90627
   140        5  22.5132  122644      59986       48.911  RAND       9.90894
   145        6  21.7974  122643      85559       69.763  RAND       9.91386
   190        4  24.4018  122645      40404       32.944  RAND       9.918
   175        4  23.7139  122645      35812       29.2    RAND       9.92281
   160        6  22.0579  122643      89199       72.731  RAND       9.9247
   135        6  21.6188  122643      82919       67.61   RAND       9.92665
   145        3  28.7332  122646       5538        4.515  MEAN       9.93267
    45        6  32.103   122643      17802       14.515  MEDIAN     9.93807
   140        3  27.8098  122646       5042        4.111  MEAN       9.94424
   185        4  22.1568  122645      39172       31.939  RAND       9.94554
   130        6  20.3503  122643      81415       66.384  RAND       9.95051
   130        5  21.4019  122644      54574       44.498  RAND       9.95271
   155        3  28.0426  122646       6359        5.185  MEDIAN     9.96284
    55        5  31.098   122644      13343       10.879  MEDIAN     9.96358
    75        4  27.4196  122645       8618        7.027  MEAN       9.97364
   140        6  19.4211  122643      84679       69.045  RAND       9.97523
   150        3  29.833   122646       5918        4.825  MEDIAN     9.97574
   165        4  23.837   122645      32326       26.357  RAND       9.98937
   125        6  23.0426  122643      79599       64.903  RAND      10.0142
   125        5  22.3328  122644      52084       42.468  RAND      10.0143
   135        3  28.8061  122646       4696        3.829  MEAN      10.0151
   120        6  22.3311  122643      78217       63.776  RAND      10.0197
   170        4  25.7586  122645      34133       27.831  RAND      10.0446
   125        3  28.8765  122646       3915        3.192  MEAN      10.0447
   160        4  22.5383  122645      30774       25.092  RAND      10.045
   135        3  29.0774  122646       4696        3.829  MEDIAN    10.0487
   155        4  24.7565  122645      29026       23.667  RAND      10.0593
    75        4  29.6605  122645       8618        7.027  MEDIAN    10.0648
   130        3  27.9475  122646       4286        3.495  MEAN      10.0674
   140        3  28.8353  122646       5042        4.111  MEDIAN    10.0702
   150        4  23.4976  122645      27614       22.515  RAND      10.0713
    40        7  31.3082  122642      23185       18.905  MEDIAN    10.0729
   145        3  30.262   122646       5538        4.515  MEDIAN    10.0739
   115        6  21.3903  122643      75529       61.584  RAND      10.0755
   190        7  20.0162  122642      99728       81.316  RAND      10.0886
   180        7  19.5803  122642      99712       81.303  RAND      10.0909
    50        5  28.1469  122644      11307        9.219  MEAN      10.1023
   120        5  23.9226  122644      49197       40.114  RAND      10.1074
   105        6  21.5872  122643      69403       56.589  RAND      10.1106
    70        4  28.7158  122645       7460        6.083  MEAN      10.1171
   115        5  22.5898  122644      46081       37.573  RAND      10.1176
   155        7  19.6876  122642      95911       78.204  RAND      10.1178
   130        3  28.3892  122646       4286        3.495  MEDIAN    10.1287
   120        3  27.9466  122646       3490        2.846  MEAN      10.1328
   145        4  25.4432  122645      25984       21.186  RAND      10.1376
   110        6  22.9474  122643      72551       59.156  RAND      10.1396
   140        4  23.9714  122645      24541       20.01   RAND      10.1446
   125        3  29.776   122646       3915        3.192  MEDIAN    10.1501
   160        7  21.0967  122642      97229       79.279  RAND      10.1508
   195        7  20.6832  122642      99806       81.38   RAND      10.1568
    70        4  32.0989  122645       7460        6.083  MEDIAN    10.1591
   175        7  20.1235  122642      98273       80.13   RAND      10.1595
   130        7  19.267   122642      91262       74.413  RAND      10.1651
   185        7  21.3106  122642      99717       81.307  RAND      10.1662
   150        7  21.9525  122642      94943       77.415  RAND      10.1696
   165        7  19.1734  122642      97871       79.802  RAND      10.1767
   115        3  32.2176  122646       3137        2.558  MEAN      10.1772
   120        7  19.8253  122642      90098       73.464  RAND      10.1794
   145        7  21.4519  122642      94332       76.917  RAND      10.1802
   130        4  26.825   122645      21984       17.925  RAND      10.1883
   110        5  24.3763  122644      42708       34.823  RAND      10.1914
   170        7  20.711   122642      98214       80.082  RAND      10.2027
   140        7  20.4077  122642      93431       76.182  RAND      10.2048
    40        6  27.9369  122643      14630       11.929  MEAN      10.2094
   135        7  21.1459  122642      92773       75.645  RAND      10.2147
   135        4  26.2323  122645      23321       19.015  RAND      10.2154
   125        7  21.6249  122642      90413       73.721  RAND      10.2211
   125        4  24.8652  122645      20819       16.975  RAND      10.2249
    95        6  22.9463  122643      62401       50.88   RAND      10.2265
   120        3  30.3435  122646       3490        2.846  MEDIAN    10.2282
   115        7  20.2888  122642      89202       72.734  RAND      10.2309
   105        5  23.3991  122644      39491       32.2    RAND      10.2423
   195        3  26.2471  122646       9917        8.086  RAND      10.2447
   110        3  27.7666  122646       2777        2.264  MEAN      10.246
   115        3  29.9523  122646       3137        2.558  MEDIAN    10.2539
    50        5  28.5437  122644      11307        9.219  MEDIAN    10.2552
   110        7  22.6471  122642      87202       71.103  RAND      10.2579
   120        4  26.3557  122645      19375       15.798  RAND      10.2707
   100        6  23.6662  122643      65916       53.746  RAND      10.2736
   175        3  25.6588  122646       8428        6.872  RAND      10.2772
   105        3  27.8035  122646       2461        2.007  MEDIAN    10.2784
    40        6  31.3403  122643      14630       11.929  MEDIAN    10.2806
    35        7  27.7758  122642      18502       15.086  MEAN      10.2819
   105        3  28.3977  122646       2461        2.007  MEAN      10.2822
    65        4  30.3563  122645       6215        5.067  MEDIAN    10.2868
   115        4  24.8048  122645      18182       14.825  RAND      10.2889
   180        3  27.805   122646       8794        7.17   RAND      10.2995
   100        3  27.1916  122646       2151        1.754  MEAN      10.3162
   185        3  26.2772  122646       9266        7.555  RAND      10.3204
    90        6  22.5131  122643      57740       47.08   RAND      10.3209
   105        7  20.1577  122642      85426       69.655  RAND      10.3211
   110        4  26.728   122645      17109       13.95   RAND      10.3227
    95        5  25.6435  122644      33212       27.08   RAND      10.3228
   100        7  21.9307  122642      83938       68.441  RAND      10.3307
   190        3  27.8995  122646       9507        7.752  RAND      10.3346
   110        3  29.0568  122646       2777        2.264  MEDIAN    10.3367
   100        5  24.6809  122644      36149       29.475  RAND      10.3398
    90        3  28.4221  122646       1619        1.32   MEAN      10.3416
    95        3  28.7447  122646       1919        1.565  MEAN      10.3541
    90        5  22.9406  122644      30191       24.617  RAND      10.3561
    65        4  28.3952  122645       6215        5.067  MEAN      10.3587
   160        3  24.6558  122646       6945        5.663  RAND      10.3613
    95        7  21.1925  122642      81513       66.464  RAND      10.3667
    45        5  24.6388  122644       8739        7.126  MEAN      10.3877
    85        7  22.7759  122642      76179       62.115  RAND      10.3881
   105        4  24.8561  122645      15791       12.875  RAND      10.389
   165        3  27.9968  122646       7381        6.018  RAND      10.3965
   170        3  27.1813  122646       7830        6.384  RAND      10.4021
    90        7  22.444   122642      79052       64.458  RAND      10.4023
    85        6  23.2352  122643      53558       43.67   RAND      10.4135
    95        3  26.2921  122646       1919        1.565  MEDIAN    10.4192
   100        4  25.1978  122645      14604       11.908  RAND      10.4204
    60        4  27.6454  122645       4906        4      MEAN      10.4228
    80        3  29.5238  122646       1265        1.031  MEAN      10.4236
   100        3  29.0788  122646       2151        1.754  MEDIAN    10.4283
    80        5  24.5416  122644      24454       19.939  RAND      10.4336
   155        3  27.6132  122646       6359        5.185  RAND      10.4351
    95        4  26.8872  122645      13399       10.925  RAND      10.4404
   180        2  25.659   122647        328        0.267  LAST      10.4439
    85        5  26.2681  122644      27572       22.481  RAND      10.446
   185        2  29.868   122647        354        0.289  LAST      10.4477
    85        3  28.7273  122646       1435        1.17   MEAN      10.4522
   160        2  26.1718  122647        289        0.236  LAST      10.4553
   150        3  25.1056  122646       5918        4.825  RAND      10.4603
    90        3  28.0427  122646       1619        1.32   MEDIAN    10.4609
    35        7  31.9302  122642      18502       15.086  MEDIAN    10.4707
    80        7  21.721   122642      71066       57.946  RAND      10.4713
    60        4  32.162   122645       4906        4      MEDIAN    10.475
    75        3  28.1864  122646       1044        0.851  MEAN      10.4866
    80        6  22.6438  122643      47880       39.04   RAND      10.4895
   170        2  25.7805  122647        315        0.257  LAST      10.4897
    85        3  29.5034  122646       1435        1.17   MEDIAN    10.4927
   195        2  29.4727  122647        391        0.319  LAST      10.4959
